اسم الأكله,وقت الوجبة,عدد الاشخاص,الوقت,السعرات الحرايه,المقادير,التحضير,الصورة
      برجر البطاطس          ,غداء,    6 أشخاص    ,    70 دقيقة    ,    261 سعرة حرارية    ,"      3 ثمرات بطاطس متوسطة الحجم مسلوقة.  ,   كوب فاصوليا حمراء معلبة.  ,   كوب حبوب ذرة مسلوقة.  ,   كوب بقسماط مطحون.  ,   ثمرة جزر متوسطة الحجم مبشورة.  ,   ثمرة كوسة متوسطة الحجم مبشورة.  ,   4 ثمرات بصل أخضر مفروم.  ,   بصلة متوسطة مقطعة مكعبات صغيرة.  ,   2 ملعقة كبيرة صلصة الباربيكيو.  ,   ملعقة كبيرة زيت.  ,   ملح وفلفل أسود.      ","      على نار متوسطة، سخني الزيت، ثم أضيفي البصل وقلبيه حتى يُصبح لونه ذهبيًا.  ,   في محضرة الطعام ضعي الفاصوليا، واهرسيها هرسًا ناعمًا، ثم أضيفي البطاطس واهرسيها حتى يصبح الخليط ناعمًا.  ,   في وعاء كبير، ضعي جميع المقادير، وأضيفي البصل وخليط الفاصوليا الحمراء والبطاطس، وقلبي جيدًا حتى تمتزج المكونات تمامًا.  ,   شكلي العجين على شكل أقراص، ثم اشويها على الجهتين لمدة 4 دقائق لكل جهة، في مقلاة غير قابلة للالتصاق وبها 2 ملعقة زيت.  ,   قدمي البرجر النباتي مع خبز الكايزر وشرائح الجبن الشيدر وحلقات الطماطم والبصل.      ",https://www.supermama.me/system/App/Entities/Recipe/images/000/088/625/mobile-watermarked-large-card/%25D8%25B7%25D8%25B1%25D9%258A%25D9%2582%25D8%25A9-%25D8%25B9%25D9%2585%25D9%2584-%25D8%25A8%25D8%25B1%25D8%25AC%25D8%25B1-%25D8%25A7%25D9%2584%25D8%25A8%25D8%25B7%25D8%25A7%25D8%25B7%25D8%25B3.jpg
      البرجر النباتي بالمشروم          ,غداء,    4 أشخاص    ,    75 دقيقة    ,    313 سعرة حرارية    ,"      2 كوب مشروم طازج مقطع شرائح.  ,   كوب بروكلي مقطع قطع صغيرة.  ,   ¾ كوب بقسماط.  ,   ⅔ كوب شوفان.  ,   بصلة صغيرة مفرومة ناعم.  ,   4 فصوص ثوم مهروس.  ,   ½ ملعقة صغيرة أُوريغانو جاف.  ,   2 بيضة كبيرة.  ,   2 ملعقة كبيرة زيت.  ,   ملح وفلفل أسود.      ","      على نار متوسطة، سخني الزيت، ثم أضيفي المشروم والبصل والثوم والملح والفلفل الأسود والأُوريغانو والملح والفلفل الأسود، وقلبي لمدة 10 دقائق.  ,   في ماء مغلي، ضعي البروكلي لمدة 8 دقائق، ثم ارفعيه.  ,   ضعي البروكلي وخليط المشروم في محضرة الطعام، وافرميه خشنًا.  ,   ضعي الخليط في وعاء كبير، ثم أضيفي إليه الشوفان والبقسماط والبيض والملح والفلفل الأسود، وقلبي جيدًا، ثم اتركيه جانبًا لمدة 15 دقيقة.  ,   شكلي الخليط على شكل دوائر ثم اقليها في كمية صغيرة من الزيت على الجهتين.  ,   قدمي البرجر النباتي مع خبز الكايزر والخس وشرائح الطماطم.      ",https://www.supermama.me/system/App/Entities/Recipe/images/000/088/303/mobile-watermarked-large-card/%25D8%25B7%25D8%25B1%25D9%258A%25D9%2582%25D8%25A9-%25D8%25B9%25D9%2585%25D9%2584-%25D8%25A7%25D9%2584%25D8%25A8%25D8%25B1%25D8%25AC%25D8%25B1-%25D8%25A7%25D9%2584%25D9%2586%25D8%25A8%25D8%25A7%25D8%25AA%25D9%258A-%25D8%25A8%25D8%25A7%25D9%2584%25D9%2585%25D8%25B4%25D8%25B1%25D9%2588%25D9%2585.jpg
      شوربة المشروم على الطريقة المجرية          ,غداء,    4 أشخاص    ,    45 دقيقة    ,    273 سعرة حرارية    ,"      2 كوب مرق دجاج.  ,   2 كوب بصل مفروم.  ,   ½ 1 كوب مشروم مقطع شرائح.  ,   كوب حليب.  ,   ½ كوب ساور كريم (كريمة حامضة).  ,   ¼ كوب بقدونس مفروم.  ,   3 ملاعق كبيرة دقيق.  ,   2 ملعقة كبيرة زبدة.  ,   ملعقة كبيرة بابريكا.  ,   2 ملعقة كبيرة زيت.  ,   ملعقة كبيرة صويا صوص.  ,   2 ملعقة صغيرة شبت مفروم.  ,   2 ملعقة صغيرة عصير ليمون.  ,   ملح وفلفل أسود.      ","      على نار متوسطة، سخني الزيت ثم أضيفي البصل وقلبيه حتى يذبل.  ,   أضيفي المشروم وملعقة صغيرة من الشبت و½ كوب من المرق وصوص الصويا والبابريكا ورشة ملح، وقلبي جيدًا حتى تمتزج المكونات.  ,   غطّي القدر واتركيه على نار هادئة لمدة 15 دقيقة.  ,   على نار متوسطة ذوّبي الزبدة ثم أضيفي الدقيق وقلبيه لمدة 5 دقائق.  ,    على نار هادئة أضيفي الحليب تدريجيًا مع التقليب باستمرار حتى يذوب الدقيق جيدًا ويغلظ الحليب.  ,   أضيفي المشروم وباقي المرق مع التقليب باستمرار حتى يغلي.  ,   غطّي القدر واتركيه على نار هادئة لمدة 10 – 15 دقيقة.  ,   أضيفي الملح والفلفل الأسود وعصير الليمون والساور كريم وباقي الشبت وقلبي جيدًا.  ,   ضعي الشوربة في أطباق التقديم وزينيها بالبقدونس.  ,   قدمي الشوربة مع الخبز المحمص.      ",https://www.supermama.me/system/App/Entities/Recipe/images/000/081/181/mobile-watermarked-large-card/D8%25B9%25D9%2585%25D9%2584-%25D8%25B4%25D9%2588%25D8%25B1%25D8%25A8%25D8%25A9-%25D8%25A7%25D9%2584%25D9%2585%25D8%25B4%25D8%25B1%25D9%2588%25D9%2585-%25D8%25B9%25D9%2584%25D9%2589-%25D8%25A7%25D9%2584%25D8%25B7%25D8%25B1%25D9%258A%25D9%2582%25D8%25A9-%25D8%25A7%25D9%2584%25D9%2585%25D8%25AC%25D8%25B1%25D9%258A%25D8%25A9.jpg
      الشوربة الإيطالية بالسوسيس والفاصوليا الحمراء          ,غداء,    6 أشخاص    ,    40 دقيقة    ,    318 سعرة حرارية    ,"      ½ 2 كوب سوسيس مقطع شرائح.  ,   2 كوب طماطم مقشرة ومقطعة مكعبات.  ,   كوب بصل مفروم.  ,   كوب مكرونة قواقع.  ,   2 مكعب مرق دجاج.  ,   كوب فاصوليا حمراء معلبة.  ,   ½ 3 كوب ماء ماء مغلي.  ,   2 ملعقة صغيرة زيت زيتون.      ","      على نار متوسطة سخني الزيت ثم أضيفي البصل وقلبيه حتى يذبل.  ,   أضيفي السوسيس وقلبي لمدة 5 دقائق.  ,   أضيفي الطماطم والماء ومكعبي المرق والمكرونة واتركي الخليط حتى يغلي.  ,   أضيفي الفاصوليا واتركيه على نار هادئة ثم غطي القدر واتركيه لمدة 15 – 20 دقيقة.  ,   ضعيه في أطباق التقديم وقدميه ساخنًا.      ",https://www.supermama.me/system/App/Entities/Recipe/images/000/078/556/mobile-watermarked-large-card/D8%25A5%25D9%258A%25D8%25B7%25D8%25A7%25D9%2584%25D9%258A%25D8%25A9-%25D8%25A8%25D8%25A7%25D9%2584%25D8%25B3%25D9%2588%25D8%25B3%25D9%258A%25D8%25B3%2520%25D9%2588%25D8%25A7%25D9%2584%25D9%2581%25D8%25A7%25D8%25B5%25D9%2588%25D9%2584%25D9%258A%25D8%25A7-%25D8%25A7%25D9%2584%25D8%25AD%25D9%2585%25D8%25B1%25D8%25A7%25D8%25A1.jpg
      شوربة البروكلي          ,غداء,    5 أشخاص    ,    60 دقيقة    ,    252 سعرة حرارية    ,"      2 ملعقة كبيرة زبدة  ,   1 بصلة متوسطة مفرومة  ,   1 حزمة كرفس مفرومة  ,   3 كوب مرق دجاج  ,   8 كوب بروكلي مقطع      ","      على نار متوسطة، ذوّبي الزبدة ثم ضعي البصل والكرفس وقلبيهما حتى يذبلان.  ,   أضيفي البروكلي ومرق الدجاج، ثم غطي القدر واتركيه على النار لمدة 15 دقيقة.  ,   ضعي الشوربة في الخلاط واهرسيها جيدًا.  ,   على نار متوسطة، ذوّبي الزبدة ثم أضيفي الدقيق وقلبيه لمدة 5 دقائق.  ,   أضيفي الحليب تدريجيًا، وقلبي بسرعة وباستمرار حتى تغلظ الكريمة.  ,   ضعي الملح والفلفل ثم أضيفي الشوربة وقلبي الخليط لمدة 10 دقائق.  ,   ضعي الشوربة في أطباق التقديم، وزينيها بأوراق الكرفس.      ",https://www.supermama.me/system/App/Entities/Recipe/images/000/065/406/mobile-watermarked-large-card/%25D8%25B7%25D8%25B1%25D9%258A%25D9%2582%25D8%25A9-%25D8%25B9%25D9%2585%25D9%2584-%25D8%25B4%25D9%2588%25D8%25B1%25D8%25A8%25D8%25A9-%25D8%25A7%25D9%2584%25D8%25A8%25D8%25B1%25D9%2588%25D9%2583%25D9%2584%25D9%258A.jpg
      شوربة الخرشوف          ,غداء,    8 أشخاص    ,    90 دقيقة    ,    189.81 سعرة حرارية    ,"      ٥ قلب خرشوف  ,   ٧ ملعقتين كبيرتين زبدة  ,   ١ كراث مقطعة ومغسولة  ,   ٦ فصوص ثوم مفروم  ,   ١ بصلة خضراء متوسطة مقطعة  ,   ٢٠٠ جرام بطاطس مقشرة ومقطعة  ,   ١٢ كوب من مرقة الدجاج  ,   ١\u202a/\u202c٢ ورقة لورى  ,   ٢ عروق زعتر  ,   ٤ أغصان بقدونس  ,   ١\u202a/\u202c٤ ملعقة صغيرة فلفل اسود  ,   ١\u202a/\u202c٢ كوب كريمة ملح      ","      قطعي الخرشوف واستخرجي القلب، إذا كنت تستخدمين خرشوف طازج. قطعي قلب الخرشوف لقطع صغيرة  ,   سيحي نصف الزبدة وأضيفي إليها الخرشوف والغار والثوم والبصل الأخضر واتركيهم على نار متوسطة حتى ينضج ولكن لا تتركيه يتحول للون البني.  ,   أضيفي البطاطس والمرقة ٤- لفي الزعتر وورق اللورا والبقدونس والفلفل في شاش وأضيفيه للوعاء  ,   زودي درجة النار لينضج الخليط ثم اخفضي النار مرة اخرى لمدة ساعة بدون غطاء  ,   أزيلي الأعشاب  ,   صبي الشوربة في مصفاه  ,   أعيدي تسخين الشوربة مع إضافة بقية الزبدة والكريمة قبل التقديم      ",https://www.supermama.me/system/App/Entities/Recipe/images/000/018/895/mobile-watermarked-large-card/%25D8%25B4%25D9%2588%25D8%25B1%25D8%25A8%25D8%25A9-%25D8%25A7%25D9%2584%25D8%25AE%25D8%25B1%25D8%25B4%25D9%2588%25D9%2581.jpg
      بطاطس بيوريه بالشيدر و البصل الأخضر          ,فطار,    6 أشخاص    ,    60 دقيقة    ,    251.53 سعرة حرارية    ,"      2 حبة بطاطس  ,   ½ كوب كريمة نصف دسم  ,   3 ملعقة كبيرة زبدة  ,   1 فنجان جبنة شيدر مبشورة  ,   4 بصل أخضر مقطع شرائح كبيرة  ,   ملح و فلفل      ","      قشري البطاطس و قطعيها اربع اجزاء.  ,   اسلقيها فى إناء ممتلىء بالماء حتى النضج .  ,   صفي البطاطس وأضيفي الكريمة والزبدة والملح والفلفل ثم يتم اهرسي البطاطس .  ,   اضيفي الجبن الشيدر و قلبي جيدا. ثم سخنيها على النار قليلاً حتى تذوب الجبن.  ,   أضيفي شرائح البصل الرفيعة واخلطيها مع البطاطس.      ",https://www.supermama.me/system/App/Entities/Recipe/images/000/018/353/mobile-watermarked-large-card/%25D8%25A8%25D8%25B7%25D8%25A7%25D8%25B7%25D8%25B3-%25D8%25A8%25D9%258A%25D9%2588%25D8%25B1%25D9%258A%25D9%2587-%25D8%25A8%25D8%25A7%25D9%2584%25D8%25AC%25D8%25A8%25D9%2586-%25D9%2588-%25D8%25A7%25D9%2584%25D8%25A8%25D8%25B5%25D9%2584-%25D8%25A7%25D9%2584%25D8%25A3%25D8%25AE%25D8%25B6%25D8%25B1%2520.jpg
      الأرز البسمتي بالبزلاء والجزر          ,غداء,    6 أشخاص    ,    30 دقيقة    ,    266.45 سعرة حرارية    ,"      2 كوب من الأرز البسمتي (تم شطفه وتركه يجف)  ,   1 ملعقة كبيرة زيت نباتي  ,   1/2 كوب بصل (مقطع)  ,   1/2 ملعقة كبيرة زبدة  ,   4 أكواب ماء (بارد)  ,   الملح والفلفل حسب الذوق  ,   1 مكعب من مرقة الدجاج  ,   300 غرام من البازلاء والجزر، مجمدة      ","      إقلي البصل المفروم في الزبدة، حتى يصبح ناعم. إحفظيه جانبا.  ,    إغلي البازلاء والجزر في الماء في وعاء كبير. حذقي مع الملح والفلفل حسب الرغبة.  ,    أضافي مرقة الدجاج والبصل. إتركيه على نار خفيفة لمدة 3 دقائق  ,   أضيفي الأرز.  ,    إطبخي الأرز مكشوف لمدة 15 دقيقة.  ,    اتركيه يبرد 5 دقائق ثم قلبيه جيدا قبل التقديم.      ",https://www.supermama.me/system/App/Entities/Recipe/images/000/025/072/mobile-watermarked-large-card/%25D8%25A3%25D8%25B1%25D8%25B2-%25D8%25A7%25D9%2584%25D8%25A8%25D8%25B3%25D9%2585%25D8%25AA%25D9%258A-%25D8%25A8%25D8%25A7%25D9%2584%25D8%25A8%25D8%25B2%25D9%2584%25D8%25A7%25D8%25A1-%25D9%2588-%25D8%25A7%25D9%2584%25D8%25AC%25D8%25B2%25D8%25B1.jpg
      بط محشي بالفريك          ,غداء,    8 أشخاص    ,    120 دقيقة    ,    308 سعرة حرارية    ,"      بطة متوسطة الحجم  ,   بصلة مقطعة قطع صغيرة جداً  ,   . 3 بصلات مقطعة إلى شرائح.  ,   حبة طماطم مبشورة  ,   . ملعقة كبيرة زبد  ,   . 2 ملعقة كبيرة زيت.  ,   نصف كيلو فريك.  ,   بهارات دجاج.  ,   ملح وفلفل.  ,   ورق لاورا.      ","      احضري الفريك واغسليه، ثم انقعيه في المياه لمدة ساعة، ثم أحضري مصفاه وضعيها به حتي يتصفي.  ,   سخني الزبد والزيت في إناء متوسط فوق نار متوسطة، وضيفي إليهم الفريك وقلبيهم معًا حتي يصفر ، ثم ضيفي الطماطم المبشورة والبصل والملح والفلفل وشوحيهم على النار لمدة 10 دقائق على نار هادئة  ,   احضري البطة واغسليها جيدًا بالملح والدقيق والليمون، ثم اغسليها بالمياه.  ,   احشي البطة بخلطة الفريك، ثم أحضري صينية فرن، وضعي بها شرائح البصل وورق اللاورا والملح والفلفل، ثم ضعي فوقهم البطة ورشي الملح والفلفل وبهارات الدجاج وكوب كبير من المياه وغطيها بورق ألومونيوم ثم ضعيه في الصينية.  ,   سخني الفرن على نار متوسطة ثم ضعي الصينية, وبعد ساعة اخرجيها من الفرن ثم انزعي من عليها ورق الألومونيوم و ادخليها الفرن مرة أخري واتركيها حتي تمام التسوية و اﻹحمرار.      ",https://www.supermama.me/system/App/Entities/Recipe/images/000/046/135/mobile-watermarked-large-card/%25D8%25A8%25D8%25B7-%25D9%2585%25D8%25AD%25D8%25B4%25D9%258A.jpg
      الرقاق          ,غداء,    6 أشخاص    ,    45 دقيقة    ,    146 سعرة حرارية    ,"      10:12 شريحة رقاق  ,   ملعقة كبيرة سمن بلدي أو زيت  ,   كوب بقدونس مفروم (اختيارى)  ,   أكثر من ربع كيلو ""300 جم"" لحم مفروم  ,   بصلة متوسطة مفرومة ناعمًا     ,   3 ملاعق كبيرة سمن بلدي أو زيت   ,   كوب ونصف مرق دجاج أو لحم  ,   ملح وفلفل وبهارات      ","      ادهني نصف كمية السمن المذاب ""3 ملاعق"" فى صينية  ,   سخني مرق الدجاج فى صينية، يكون حجمها اكبر من الصينية التى سيطهى فيها الرقاق.  ,   خذي واحدة من شرائح الرقاق و اغمسيها فى صينية المرق من الجانبين. ضعي الشريحة فى الصينية اﻷخرى وتأكدي أنّه لا توجد فراغات  ,   كرري الأمر مع بقية شرائح الرقاق لوضعها فى طبقات فوق بعضها حتى تنهى نصف الكمية.  ,   ضعي ""ملعقة السمن أو الزيت"" مع البصل واللحم المفروم على النار وبعد نضجها ضعي البقدونس ""لحم عصاج""  ,   ضعي خلطة اللحم المفروم فوق طبقات الرقاق فى الصينية.  ,   كرري الخطوات السابقة مع بقية شرائح الرقاق، رصيهم طبقات فوق اللحم. تدهن الطبقه الاخيرة ببقية السمن.  ,   اضغطي الشرائح باليدين حتى تلتصق ببعضها البعض. يمكنكِ إضافة بقية المرق على حواف الصينية.  ,   سخني الفرن على حرارة مرتفعة (220-240 مئوية). توضع الصينية فى الفرن. تترك لمدة 35-45 دقيقة أو حتى يتحول سطحها الى اللون الذهبي.  ,   أخرجي الصينية من الفرن وقطعي الرقاق الى قطع متساوية بسكين حاد.       ",https://www.supermama.me/system/App/Entities/Recipe/images/000/046/739/mobile-watermarked-large-card/%25D8%25A7%25D9%2584%25D8%25B1%25D9%2582%25D8%25A7%25D9%2582.jpg
      محشي كرنب بالبهارات المشكلة والكمون          ,غداء,    10 أشخاص    ,    180 دقيقة    ,    227.34 سعرة حرارية    ,"      ثمرة كرنب متوسطة الحجم.  ,   2 كوب (400 جم) أرز مصري.  ,   2 ملعقة كبيرة (25 جم) سمن.   ,   كوب (200 جم) بصل مفروم.  ,   2 ملعقة صغيرة (10 جم) كمون.  ,   ملعقة صغيرة (5 جم) كزبرة.  ,   ملعقة صغيرة (5 جم) فلفل أسود.  ,   ملعقة صغيرة (5 جم) بهارات مشكلة.  ,   ملعقة صغيرة (5 جم) بهارات لحم.  ,   ½ ملعقة صغيرة (2.5 جم) قرفة.  ,   ½ ملعقة صغيرة (2.5 جم) شطة.  ,   ½ 1 كوب (375 مل) عصير طماطم.  ,   3 ملاعق كبيرة (37.5 جم) معجون طماطم.  ,   حزمة (25 جم) شبت مفرومة.  ,   2 حزمة (50 جم) بقدونس مفروم.  ,   2 كوب (500 مل) مرق دجاج أو مرق بط.      ","      في قدر كبيرة على النار، ضعي لترًا ونصف اللتر ماء وملعقة صغيرة من الكمون، واتركيه حتى يغلي.  ,   قطعي الكرنب أربع أو ست قطع متساوية الحجم، ثم اسلقي القطع منفصلة في الماء المغلي لخمس دقائق، ثم صفيها جيدًا.  ,   قطعي الأوراق بعد فصلها عن بعضها مربعات صغيرة.  ,   في قدر على نار متوسطة، ضعي السمن والبصل وملعقة صغيرة من الكمون والكزبرة والفلفل الأسود والبهارات المشكلة وبهارات اللحم والقرفة والشطة وملعقة صغيرة من الملح، ثم قلبي حتى يذبل البصل.  ,   أضيفي عصير الطماطم وملعقتين كبيرتين معجون طماطم، واتركي الخليط يغلي على النار لمدة خمس دقائق، ثم ارفعيه من على النار.  ,   أضيفي الأرز والشبت والبقدونس إلى خليط الطماطم والبصل، ثم قلبي المكونات جيدًا.  ,   احشي ورق الكرنب بالخلطة، ثم لفيه كالرول.  ,   رصي بعض أوراق الكرنب غير المحشية في قعر قدر كبيرة، ثم رصي أصابع المحشي فوقها.  ,   سخني مرق الدجاج أو مرق البط، ثم أضيفي له ملعقة كبيرة معجون طماطم وملعقة صغيرة من الملح، وقلبي جيدًا.  ,   اغمري محشي الكرنب بالمرق، ثمر رشي ملعقة صغيرة من الكمون على الوجه.  ,   ضعي طبقًا زجاجيًا داخل القدر فوق محشي الكرنب، حتى لا ينفتح في أثناء الطهي، ثم غطي القدر.  ,   ضعي القدر على نار متوسطة حتى يغلي الماء، ثم اخفضي حرارة النار، واتركي محشي الكرنب على نار هادئة حتى ينضج مدة 60 دقيقة تقريبًا، ثم قدميه ساخنًا.      ",https://www.supermama.me/system/App/Entities/Recipe/images/000/111/024/mobile-watermarked-large-card/%D9%85%D8%AD%D8%B4%D9%8A-%D9%83%D8%B1%D9%86%D8%A8-%D8%A8%D8%A7%D9%84%D8%A8%D9%87%D8%A7%D8%B1%D8%A7%D8%AA-%D8%A7%D9%84%D9%85%D8%B4%D9%83%D9%84%D8%A9-%D9%88%D8%A7%D9%84%D9%83%D9%85%D9%88%D9%86.jpg
      محشي الباذنجان          ,غداء,    6 أشخاص    ,    120 دقيقة    ,    881 سعرة حرارية    ,"      2 كيلو باذنجان أبيض وأسود، متوسط الحجم ومقوّر من الداخل.  ,   كيلو أرز مصري مغسول.  ,   3 بصلات كبيرة مفرومة ناعم.  ,   4 أكواب عصير طماطم مركز.  ,   4 أكواب مرق دجاج أو لحم.  ,   ½ كوب شبت مقطع.  ,   ½ كوب بقدونس مقطع.  ,   ½ كوب كزبرة خضراء مقطعة.  ,   2 ملعقة كبيرة صلصة طماطم.  ,   2 ملعقة كبيرة زيت.  ,   ½ معلقة صغيرة قرفة مطحونة.  ,   ملعقة صغيرة نعناع جاف مفروم.  ,   ملعقة صغيرة بهارات مشكلة.  ,   معلقة صغيرة فلفل أسود مطحون.  ,   ¼ ملعقة صغيرة جوزة الطيب.  ,   ½ ملعقة صغيرة فلفل حار مفروم.  ,   مكعب مرقة دجاج مطحون.  ,   ملح.      ","      على نار متوسطة، سخني الزيت، ثم أضيفي البصل وقلبيه حتى يذبل.  ,   أضيفي صلصة الطماطم و3 أكواب من عصير الطماطم وقلبي، ثم اتركيها حتى تغلي.  ,   أضيفي مكعب المرق، وقلبي لمدة 5 دقائق.  ,   في وعاء كبير، ضعي الأرز والكزبرة والشبت والبقدونس وخليط البصل والطماطم والنعناع والقرفة والبهارات وجوزة الطيب والفلفل الأسود والملح والفلفل الحار، وقلبي جيدًا.  ,   احشي الباذنجان بالأرز، واتركي مقدار عقلة إصبع، حتى تسمحي للأرز بالتمدد في أثناء النضج.  ,   على نار متوسطة، ضعي باقي عصير الطماطم والمرق، واتركيه حتى يغلي.  ,   رصي الباذنجان في القدر، ثم صبي المرق في داخل كل ثمرة باذنجان.  ,   صبي باقي المرق في قاع القدر حتى يصل إلى منتصف الباذنجان، ثم غطي القدر واتركيه على نار متوسطة حتى يغلي المرق.  ,   اخفضي النار لتصبح هادئة، واتركيه لمدة 60 دقيقة حتى ينضج، وقدميه ساخنًا.      ",https://www.supermama.me/system/App/Entities/Recipe/images/000/089/303/mobile-watermarked-large-card/%25D8%25B7%25D8%25B1%25D9%258A%25D9%2582%25D8%25A9-%25D8%25B9%25D9%2585%25D9%2584-%25D9%2585%25D8%25AD%25D8%25B4%25D9%258A-%25D8%25A7%25D9%2584%25D8%25A8%25D8%25A7%25D8%25B0%25D9%2586%25D8%25AC%25D8%25A7%25D9%2586.jpg
      محشي ورق العنب          ,غداء,    6 أشخاص    ,    90 دقيقة    ,    642 سعرة حرارية    ,"      2 كوب أرز مصري منقوع.  ,   2 كوب مرق دجاج.  ,   كيلو ورق عنب مسلوق.  ,   2 بصلة كبيرة مفرومة ناعم.  ,   4 ثمرات طماطم كبيرة مقشّرة ومفرومة.  ,   ¼ كوب دبس رمان (اختياري).  ,   حزمة بقدونس طازج مفروم.  ,   2 ملعقة كبيرة نعناع طازج مفروم.  ,   ملعقة كبيرة صلصة طماطم.  ,   8 ملاعق كبيرة زيت زيتون.  ,   4 ملاعق كبيرة عصير ليمون.  ,   ملعقة صغيرة بهارات مشكلة.  ,   ملح وفلفل أسود.  ,   بصلة مقطعة حلقات.  ,   ثوم مفروم مع عصير ليمون (حسب الرغبة).      ","      في وعاء كبير، ضعي البقدونس والنعناع والطماطم وصلصة الطماطم والبصل ونصف كمية الزيت ونصف كمية دبس الرمان، ثم قلبي جيدًا.  ,   أضيفي الملح والبهارات والأرز والفلفل الأسود، وقلبي.  ,   افردي ورقة العنب، ثم ضعي الحشو في طرف الورقة، ثم اثني طرفي الورقة، ولفيها.  ,   رصي بعض ورقات العنب غير المحشية في قاع القدر أو حلقات البصل لمنع الالتصاق، ثم رصي ورق العنب المحشي فوقها.  ,   بين كل طبقة وطبقة، ضعي ملعقة من عصير الليمون مع الثوم المفروم لمزيد من مذاق الليمون وهذه خطوة اختيارية.  ,   في وعاء كبير ضعي المرق وعصير الليمون وباقي دبس الرمان وباقي الزيت، وقلبي جيدًا.  ,   صبي المرق فوق المحشي، ثم ضعي صحن فوق المحشي، واتركيه حتى يغلي.  ,   غطي القدر، واتركي المحشي على نار هادئة لمدة 45 دقيقة.  ,   قدميه ساخنًا مع سلطة الزبادي بالنعناع.      ",https://www.supermama.me/system/App/Entities/Recipe/images/000/089/821/mobile-watermarked-large-card/%25D8%25B7%25D8%25B1%25D9%258A%25D9%2582%25D8%25A9-%25D8%25B9%25D9%2585%25D9%2584-%25D9%2585%25D8%25AD%25D8%25B4%25D9%258A-%25D9%2588%25D8%25B1%25D9%2582-%25D8%25A7%25D9%2584%25D8%25B9%25D9%2586%25D8%25A8.jpg
      محشي ورق العنب باللحم المفروم          ,غداء,    6 أشخاص    ,    60 دقيقة    ,    560 سعرة حرارية    ,"      كيلو ورق عنب  ,   2 كوب أرز  ,   نصف كيلو لحم مفروم  ,   بصلة متوسطة مفرومة ناعمًا  ,   2 ملعقة بقدونس مفروم ناعمًا  ,   ملعقة زيت  ,   ملح وفلفل وسماق حسب الرغبة  ,   نصف كوب كبير عصير ليمون  ,   نصف كوب عصير طماطم  ,   فصوص ثوم صغيرة  ,   بصلة شرائح  ,   ثمرة جزر مقطعة شرائح  ,   حبة بطاطس مقطعة شرائح      ","      اغسلي الارز وقلبيه مع اللحمة المفرومة والبصل المفروم والبقدونس والزيت.  ,   ضعي الملح والفلفل والسماق ونصف كمية عصير الليمون وعصير الطماطم  ,   اغسلي ورق العنب وافصلي الأعناق ثم اسلقيه سريعًا.  ,   قومي بحشو ورق العنب بالريقة المعتادة  ,   في وعاء الطهي، رصي شرائح البصل والبطاطس والجزر، ثم رصي أصابع المحشي  ,   بين الطبقات ضعي الثوم وعصير الليمون  ,   بعد الانتهاء، ضعي الشوربة حتى تغطيه واتركيه على النار حتى يغلي ثم اجعليها هادئة جدًا حتى ينضج.  ,   قدميه مع شرائح الليمون الطازجة وسلاطة الزبادي والثومية.      ",https://www.supermama.me/system/App/Entities/Recipe/images/000/053/721/mobile-watermarked-large-card/%25D9%2588%25D8%25B1%25D9%2582-%25D8%25B9%25D9%2586%25D8%25A8-%25D9%2585%25D8%25AD%25D8%25B4%25D9%258A-%25D9%2584%25D8%25AD%25D9%2585%25D8%25A9-%25D9%2585%25D9%2581%25D8%25B1%25D9%2588%25D9%2585%25D8%25A9.jpg
      سلطة الزبادي          ,فطار,    4 أشخاص    ,    5 دقيقة    ,    90 سعرة حرارية    ,"      كوب (200 جم) زبادي  ,   فص ثوم مهروس.  ,   2 ملعقة كبيرة (30 مل) عصير ليمون.  ,   ملعقة كبيرة (15 مل) زيت زيتون.  ,   ملعقة كبيرة (12.5 جم) مايونيز.  ,   ¼ ملعقة صغيرة (1.25 جم) نعناع مجفف مطحون.  ,   ملح وفلفل أسود.  ,   رشة بابريكا.      ","      في وعاء متوسط، ضعي الزبادي والمايونيز وعصير الليمون والثوم وعصير الليمون وزيت الزيتون والنعناع والملح والفلفل الأسود، وقلبي جيدًا.  ,   ضعي السلطة في أطباق التقديم، وزينيها بالبابريكا، ثم قدميها باردة مع المحاشي، أو المقلوبة.      ",https://www.supermama.me/system/App/Entities/Recipe/images/000/105/524/mobile-watermarked-large-card/%D8%B3%D9%84%D8%B7%D8%A9-%D8%A7%D9%84%D8%B2%D8%A8%D8%A7%D8%AF%D9%8A.jpg
